Trial;Subject;Sex;Experiment;Tounge_flick;Escape_attempt
T5;F12;F;Test;36;32
T5;F6;F;Test;53;72
T5;F10;F;Test;33;27
T5;F2;F;Test;29;20
T5;F18;F;Test;47;28
T5;M14;M;Test;53;44
T5;M8;M;Test;37;101
T5;M4;M;Test;55;49
T5;F16;F;Test;58;45
T5;F20;F;Test;54;59
T5;M10;M;Test;51;25
T5;F4;F;Test;53;55
T5;M18;M;Test;56;64
T5;F8;F;Test;61;39
T5;M16;M;Test;53;66
T5;M12;M;Test;45;32
T6;M7;M;Control;28;31
T6;M15;M;Control;42;19
T6;F3;F;Control;28;68
T6;F1;F;Control;44;32
T6;M5;M;Control;41;36
T6;M17;M;Control;28;72
T6;M11;M;Control;34;26
T6;F13;F;Control;48;86
T6;F11;F;Control;30;28
T6;M19;M;Control;39;54
T6;M9;M;Control;23;28
T6;M3;M;Control;44;74
T6;F15;F;Control;61;21
T6;F17;F;Control;51;22
T6;F5;F;Control;53;6
T6;F7;F;Control;52;20
T6;M1;M;Control;37;18
T6;M13;M;Control;50;21
T6;F9;F;Control;51;30
T6;F19;F;Control;45;57
T6;F2;F;Test;34;44
T6;F6;F;Test;43;20
T6;F14;F;Test;38;31
T6;M18;M;Test;28;49
T6;M8;M;Test;18;67
T6;M4;M;Test;53;57
T6;M12;M;Test;33;26
T6;F10;F;Test;41;47
T6;M20;M;Test;22;46
T6;M2;M;Test;35;28
T6;F4;F;Test;45;67
T6;M16;M;Test;26;54
T6;F8;F;Test;46;30
T6;F18;F;Test;49;38
T6;F12;F;Test;32;22
T6;M6;M;Test;44;36
T6;F16;F;Test;52;34
T6;F20;F;Test;42;68
T6;M10;M;Test;49;66
T6;M14;M;Test;35;59
T7;M7;M;Control;42;45
T7;M15;M;Control;44;26
T7;F3;F;Control;32;53
T7;F1;F;Control;64;32
T7;M5;M;Control;47;32
T7;M17;M;Control;53;73
T7;M11;M;Control;38;25
T7;F13;F;Control;62;83
T7;F11;F;Control;51;36
T7;M19;M;Control;54;65
T7;M9;M;Control;32;29
T7;M3;M;Control;46;81
T7;F15;F;Control;44;46
T7;F17;F;Control;40;34
T7;F5;F;Control;38;14
T7;F7;F;Control;20;32
T7;M1;M;Control;14;32
T7;M13;M;Control;15;27
T7;F9;F;Control;25;29
T7;F19;F;Control;35;62
T7;F2;F;Test;23;39
T7;F6;F;Test;51;52
T7;F14;F;Test;34;33
T7;M18;M;Test;55;68
T7;M8;M;Test;47;74
T7;M4;M;Test;33;61
T7;M12;M;Test;42;48
T7;F10;F;Test;31;33
T7;M20;M;Test;28;29
T7;M2;M;Test;55;28
T7;F4;F;Test;57;53
T7;M16;M;Test;48;42
T7;F8;F;Test;61;40
T7;F18;F;Test;24;25
T7;F12;F;Test;28;34
T7;M6;M;Test;22;26
T7;F16;F;Test;44;54
T7;F20;F;Test;28;79
T7;M10;M;Test;41;78
T7;M14;M;Test;32;52
T8;F9;F;Control;32;40
T8;F19;F;Control;38;32
T8;F7;F;Control;33;15
T8;M9;M;Control;26;29
T8;F11;F;Control;27;32
T8;F13;F;Control;28;73
T8;M19;M;Control;28;75
T8;M5;M;Control;30;30
T8;M13;M;Control;45;18
T8;M15;M;Control;30;18
T8;M7;M;Control;28;46
T8;F5;F;Control;27;14
T8;F1;F;Control;37;22
T8;F3;F;Control;20;50
T8;M11;M;Control;28;32
T8;F17;F;Control;29;36
T8;F15;F;Control;45;32
T8;M1;M;Control;32;20
T8;M17;M;Control;30;55
T8;M3;M;Control;44;83
T8;M10;M;Test;36;74
T8;M14;M;Test;39;44
T8;M6;M;Test;31;20
T8;F14;F;Test;23;70
T8;F4;F;Test;42;41
T8;F6;F;Test;32;33
T8;F16;F;Test;25;23
T8;M2;M;Test;44;18
T8;F20;F;Test;26;67
T8;M18;M;Test;36;48
T8;F2;F;Test;38;36
T8;M4;M;Test;40;49
T8;M12;M;Test;31;47
T8;F18;F;Test;33;15
T8;M16;M;Test;31;58
T8;F12;F;Test;30;29
T8;F10;F;Test;36;61
T8;M20;M;Test;26;53
T8;M8;M;Test;21;88
T8;F8;F;Test;38;34
T9;F9;F;Control;30;27
T9;F19;F;Control;50;56
T9;F7;F;Control;23;31
T9;M9;M;Control;27;35
T9;F11;F;Control;53;36
T9;F13;F;Control;41;74
T9;M19;M;Control;47;72
T9;M5;M;Control;27;31
T9;M13;M;Control;32;14
T9;M15;M;Control;32;11
T9;M7;M;Control;41;37
T9;F5;F;Control;41;36
T9;F1;F;Control;66;30
T9;F3;F;Control;37;67
T9;M11;M;Control;51;22
T9;F17;F;Control;51;36
T9;F15;F;Control;45;20
T9;M1;M;Control;26;37
T9;M17;M;Control;42;56
T9;M3;M;Control;45;105
T9;M10;M;Test;42;41
T9;M14;M;Test;48;56
T9;M6;M;Test;32;18
T9;F14;F;Test;54;25
T9;F4;F;Test;49;50
T9;F6;F;Test;43;67
T9;F16;F;Test;41;32
T9;M2;M;Test;57;18
T9;F20;F;Test;39;74
T9;M18;M;Test;48;78
T9;F2;F;Test;50;39
T9;M4;M;Test;63;53
T9;M12;M;Test;30;24
T9;F18;F;Test;26;16
T9;M16;M;Test;33;71
T9;F12;F;Test;52;49
T9;F10;F;Test;48;39
T9;M20;M;Test;43;41
T9;M8;M;Test;46;115
T9;F8;F;Test;30;32
T10;F7;F;Control;29;11
T10;F1;F;Control;65;28
T10;M15;M;Control;30;29
T10;F17;F;Control;49;26
T10;M5;M;Control;49;30
T10;M1;M;Control;22;42
T10;M13;M;Control;46;29
T10;M3;M;Control;65;41
T10;F19;F;Control;55;59
T10;F5;F;Control;42;21
T10;F3;F;Control;28;48
T10;F9;F;Control;52;39
T10;M7;M;Control;53;26
T10;F13;F;Control;42;59
T10;M19;M;Control;56;72
T10;M17;M;Control;48;84
T10;F11;F;Control;45;36
T10;M11;M;Control;41;41
T10;M9;M;Control;39;30
T10;F15;F;Control;51;44
T10;F6;F;Test;46;38
T10;F2;F;Test;23;13
T10;F16;F;Test;33;26
T10;M16;M;Test;39;64
T10;M6;M;Test;39;35
T10;F10;F;Test;52;50
T10;F20;F;Test;39;66
T10;M4;M;Test;45;56
T10;M10;M;Test;41;45
T10;F18;F;Test;33;23
T10;M18;M;Test;28;42
T10;M12;M;Test;26;48
T10;F14;F;Test;52;66
T10;F8;F;Test;54;44
T10;M20;M;Test;38;41
T10;M8;M;Test;36;88
T10;M2;M;Test;40;22
T10;M14;M;Test;34;43
T10;F4;F;Test;43;42
T10;F12;F;Test;26;39
